CedenAnalyteName,AnalyteName,AnalyteDescription,CASNumber,Concatenate,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,AnalyteGroup4,AnalyteGroup5,AnalyteGroup6,Notes
,Bensulide,Bensulide,741582,"Chemical,Organic,Herbicide",Organic,Organic,Herbicide,,,,
,Bentazon,Bentazon,25057890,"Chemical,Organic,Pesticide",Organic,Organic,Pesticide,,,,
"Benz(a)anthracene, Total",Benz(a)anthracene,Benz(a)anthracene,56553,"Chemical,Organic,PAH,HMW PAH,Semi-VOCs",Organic,Organic,PAH,HMW PAH,Semi-VOCs,,
,"Benz(a)anthracenes/Chrysenes, C1-",C1-Benz(a)anthracenes/Chrysenes,0,"Organic,PAH",Organic,PAH,,,,,
,"Benz(a)anthracenes/Chrysenes, C2-",C2-Benz(a)anthracenes/Chrysenes,0,"Organic,PAH",Organic,PAH,,,,,
,"Benz(a)anthracenes/Chrysenes, C3-",C3-Benz(a)anthracenes/Chrysenes,0,"Organic,PAH",Organic,PAH,,,,,
,"Benz(a)anthracenes/Chrysenes, C4-",C4-Benz(a)anthracenes/Chrysenes,0,"Organic,PAH",Organic,PAH,,,,,
,Benzaldehyde,Benzaldehyde,100527,"Chemical,Organic,VOC",Organic,Organic,VOC,,,,
,Benzene,Benzene,71432,"Chemical,Organic,VOC,MTBE",Organic,Organic,VOC,MTBE,,,
,Benzidine,Benzidine,92875,"Chemical,Organic,Semi-VOCs",Organic,Organic,Semi-VOCs,,,,
,Benzo [a] Pyrene equivalents,Benzo [a] Pyrene equivalents,0,"Organic,PAH,Semi-VOCs",Organic,PAH,Semi-VOCs,,,,
"Benzo(a)fluoranthene, Total",Benzo(a)fluoranthene,Benzo(a)fluoranthene,203338,"Chemical,Organic,PAH,Semi-VOCs",Organic,Organic,PAH,Semi-VOCs,,,
"Benzo(a)pyrene, Total",Benzo(a)pyrene,Benzo(a)pyrene,50328,"Chemical,Organic,PAH,HMW PAH,Semi-VOCs",Organic,Organic,PAH,HMW PAH,Semi-VOCs,,
"Benzo(b)fluoranthene, Total",Benzo(b)fluoranthene,Benzo(b)fluoranthene,205992,"Chemical,Organic,PAH,HMW PAH,Semi-VOCs",Organic,Organic,PAH,HMW PAH,Semi-VOCs,,
,Benzo(b/j/k)fluoranthene,Benzo(b)fluoranthene/Benzo(j)fluoranthene/Benzo(k)fluoranthene,0,"Chemical,Organic,PAH,HMW PAH,Semi-VOAs",Organic,Organic,PAH,HMW PAH,Semi-VOAs,,
"Benzo(e)pyrene, Total",Benzo(e)pyrene,Benzo(e)pyrene,192972,"Chemical,Organic,PAH,HMW PAH,Semi-VOCs",Organic,Organic,PAH,HMW PAH,Semi-VOCs,,
"Benzo(g,h,i)perylene, Total","Benzo(g,h,i)perylene","Benzo(g,h,i)perylene",191242,"Chemical,Organic,PAH,HMW PAH,Semi-VOCs",Organic,Organic,PAH,HMW PAH,Semi-VOCs,,
,Benzo(j)fluoranthene,Benzo(j)fluoranthene,0,"Organic,PAH",Organic,PAH,,,,,
"Benzo(j/k)fluoranthene, Total",Benzo(j/k)fluoranthene,Benzo(j)fluoranthene/Benzo(k)fluoranthene,0,"Chemical,Organic,PAH,HMW PAH,Semi-VOCs",Organic,Organic,PAH,HMW PAH,Semi-VOCs,,
"Benzo(k)fluoranthene, Total",Benzo(k)fluoranthene,Benzo(k)fluoranthene,207089,"Chemical,Organic,PAH,HMW PAH,Semi-VOCs",Organic,Organic,PAH,HMW PAH,Semi-VOCs,,
,Benzoic Acid,Benzoic Acid,0,"Organic,Herbicide",Organic,Herbicide,,,,,
,Benzothiophene,Benzothiophene,95158,"Chemical,Organic,PAH",Organic,Organic,PAH,,,,
,"Benzothiophene, C1-",C1-Benzothiophene,0,"Organic,PAH",Organic,PAH,,,,,
,"Benzothiophene, C2-",C2-Benzothiophene,0,"Organic,PAH",Organic,PAH,,,,,
,"Benzothiophene, C3-",C3-Benzothiophene,0,"Organic,PAH",Organic,PAH,,,,,
,Benzoylecgonine,Benzoylecgonine,519095,"Chemical,Organic,PPCP",Organic,Organic,PPCP,,,,
,Benztropine,Benztropine,86135,"Chemical,Organic,PPCP",Organic,Organic,PPCP,,,,
,Benzyl Alcohol,Benzyl Alcohol,0,"Chemical,Organic,VOC",Organic,Organic,VOC,,,,
"Beryllium, Total",Beryllium,Beryllium,7440417,"Chemical,Inorganic,Metal",Inorganic,Inorganic,Metal,,,,
,Betamethasone,Betamethasone,378449,"Chemical,Organic,PPCP",Organic,Organic,PPCP,,,,
,BGPK,BGPK,0,"Physical/Habitat,Plastic,Debris,Trash",Physical/Habitat,Plastic,Debris,Trash,,,
,Bicarbonate,Bicarbonate,71523,"Chemical,Inorganic,Constituents,Conventional",Inorganic,Inorganic,Constituents,Conventional,,,
,Bifenox,Bifenox,42576023,"Chemical,Organic,Pesticide,Herbicide",Organic,Organic,Pesticide,Herbicide,,,
"Bifenthrin, Total",Bifenthrin,Bifenthrin,82657043,"Chemical,Organic,Pyrethroid,Pesticide,Insecticide",Organic,Organic,Pyrethroid,Pesticide,Insecticide,,
,Biodegradable,Biodegradeable using Trash Protocol,0,Trash,Trash,,,,,,
,"Biodegradable, Other","Biodegradable, Other",0,"Physical/Habitat,Non-Plastic,Debris,Biodegradable,Natural",Physical/Habitat,Non-Plastic,Debris,Biodegradable,Natural,,
,Biohazard,Biohazard using Trash Protocol,0,Trash,Trash,,,,,,
,Bioluminescence (EC50),Bioluminescence (EC50),0,Toxicity,Toxicity,,,,,,
